Class,Sex,Age,Survived,Count
Crew,Female,Adult,No,16
Crew,Female,Adult,Yes,9
Crew,Male,Adult,No,376
Crew,Male,Adult,Yes,277
Crew,Male,Child,No,9
Crew,Male,Child,Yes,6
First,Female,Adult,No,50
First,Female,Adult,Yes,32
First,Female,Child,No,6
First,Female,Child,Yes,2
First,Male,Adult,No,111
First,Male,Adult,Yes,77
First,Male,Child,No,10
First,Male,Child,Yes,2
Second,Female,Adult,No,155
Second,Female,Adult,Yes,93
Second,Female,Child,No,30
Second,Female,Child,Yes,16
Second,Male,Adult,No,158
Second,Male,Adult,Yes,101
Second,Male,Child,No,29
Second,Male,Child,Yes,19
Third,Female,Adult,No,60
Third,Female,Adult,Yes,36
Third,Female,Child,No,8
Third,Female,Child,Yes,4
Third,Male,Adult,No,155
Third,Male,Adult,Yes,84
Third,Male,Child,No,19
Third,Male,Child,Yes,10